,ardrone_predictedPose__batteryPercent,ardrone_predictedPose__droneState,ardrone_predictedPose__dx,ardrone_predictedPose__dy,ardrone_predictedPose__dyaw,ardrone_predictedPose__dz,ardrone_predictedPose__pitch,ardrone_predictedPose__ptamState,ardrone_predictedPose__roll,ardrone_predictedPose__scale,ardrone_predictedPose__scaleAccuracy,ardrone_predictedPose__x,ardrone_predictedPose__y,ardrone_predictedPose__yaw,ardrone_predictedPose__z,vrpn_client_node_ardrone_pose__pose_orientation_w,vrpn_client_node_ardrone_pose__pose_orientation_x,vrpn_client_node_ardrone_pose__pose_orientation_y,vrpn_client_node_ardrone_pose__pose_orientation_z,vrpn_client_node_ardrone_pose__pose_position_x,vrpn_client_node_ardrone_pose__pose_position_y,vrpn_client_node_ardrone_pose__pose_position_z
2016-05-05 05:51:23.395407104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.428740096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.462045440,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.495365376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.528755456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.562091264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.595446528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.628774144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.662081792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.695398144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.728754944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.762085888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.795382784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.828731136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.862057984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.895432192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.928734976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.962063104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:23.995408128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
2016-05-05 05:51:24.028757760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.512499988079,0.0,0.0,0.0,0.0,,,,,,,
